_id,comment,course,createdAt,rating,updatedAt,user,userId,courseId,reviewId
6251449a1319f310641248bd,Requires lots of improvements.,62414201b28d80ff20172fe7,2022-04-09T08:32:26.216Z,1.5,2022-04-09T08:32:26.216Z,62371761ae894c9bdca29a15,1,1,1
625144db1319f310641248bf,Decent,62414353b28d80ff20172feb,2022-04-09T08:33:31.624Z,2.5,2022-04-09T08:33:31.624Z,62371761ae894c9bdca29a15,1,2,2
625145621319f310641248c1,Very good course for fluids.,62414655817647df4ab0ba2a,2022-04-09T08:35:46.104Z,3.5,2022-04-09T08:35:46.104Z,62371761ae894c9bdca29a15,1,3,3
625145bb1319f310641248c3,Aboring experience.,62458218569e0aeca6d5645a,2022-04-09T08:37:15.193Z,2.5,2022-04-09T08:37:15.193Z,62371761ae894c9bdca29a15,1,4,4
625145e91319f310641248c5,Meh.,62458462569e0aeca6d56465,2022-04-09T08:38:01.335Z,1,2022-04-09T08:38:01.335Z,62371761ae894c9bdca29a15,1,5,5
6251460c1319f310641248c7,A very good course.,624585f9569e0aeca6d5646e,2022-04-09T08:38:36.990Z,3.5,2022-04-09T08:38:36.990Z,62371761ae894c9bdca29a15,1,6,6
625146391319f310641248c9,Great stuff.,62458825569e0aeca6d56472,2022-04-09T08:39:21.366Z,4,2022-04-09T08:39:21.366Z,62371761ae894c9bdca29a15,1,7,7
625146f51319f310641248cb,Perfect course for electrical and electronics engineering.,62417498817647df4ab0ba48,2022-04-09T08:42:29.679Z,5,2022-04-09T08:42:29.679Z,624577d0e92ce9961959d77b,2,8,8
6251471f1319f310641248cd,Incredible Course.,62414655817647df4ab0ba2a,2022-04-09T08:43:11.983Z,5,2022-04-09T08:43:11.983Z,624577d0e92ce9961959d77b,2,3,9
625147501319f310641248cf,A terrific learning experience.,624585f9569e0aeca6d5646e,2022-04-09T08:44:00.355Z,4.5,2022-04-09T08:44:00.355Z,624577d0e92ce9961959d77b,2,6,10
625147801319f310641248d1,I didn't learn much from this experience.,62458825569e0aeca6d56472,2022-04-09T08:44:48.852Z,2,2022-04-09T08:44:48.852Z,624577d0e92ce9961959d77b,2,7,11
625147a21319f310641248d3,I love mathematics.,624588cb569e0aeca6d56479,2022-04-09T08:45:22.384Z,3.5,2022-04-09T08:45:22.384Z,624577d0e92ce9961959d77b,2,9,12
625148221319f310641248d5,Horrible Course.,62458218569e0aeca6d5645a,2022-04-09T08:47:30.714Z,1,2022-04-09T08:47:30.714Z,624578b6bda61dc56d57ea2a,3,4,13
625148411319f310641248d7,Very boring.,62458325569e0aeca6d5645e,2022-04-09T08:48:01.443Z,1.5,2022-04-09T08:48:01.443Z,624578b6bda61dc56d57ea2a,3,10,14
625148771319f310641248db,Solid learning experience.,62458462569e0aeca6d56465,2022-04-09T08:48:55.821Z,3.5,2022-04-09T08:48:55.821Z,624578b6bda61dc56d57ea2a,3,5,15
625148d11319f310641248dd,Wonderful Course.,62414201b28d80ff20172fe7,2022-04-09T08:50:25.116Z,4,2022-04-09T08:50:25.116Z,6214e3360feccaf7d266ebf4,4,1,16
625148f11319f310641248df,Solid materials course.,62414353b28d80ff20172feb,2022-04-09T08:50:57.747Z,3,2022-04-09T08:50:57.747Z,6214e3360feccaf7d266ebf4,4,2,17
625149161319f310641248e1,Perfect Introduction to electrical & electronics engineering,62417498817647df4ab0ba48,2022-04-09T08:51:34.008Z,5,2022-04-09T08:51:34.008Z,6214e3360feccaf7d266ebf4,4,8,18
625149511319f310641248e3,Terrific Course,62458325569e0aeca6d5645e,2022-04-09T08:52:33.956Z,4.5,2022-04-09T08:52:33.956Z,6214e3360feccaf7d266ebf4,4,10,19
625149741319f310641248e5,Incredible for learning.,624588cb569e0aeca6d56479,2022-04-09T08:53:08.537Z,5,2022-04-09T08:53:08.537Z,6214e3360feccaf7d266ebf4,4,9,20
,,626064aee8c507e186ea4ff8,,1,,,5,11,21
,,626063c0e8c507e186ea4ff4,,2,,,5,12,22
,,62606332e8c507e186ea4ff0,,3,,,5,13,23
,,6260627ae8c507e186ea4fec,,4,,,5,14,24
,,6260614ce8c507e186ea4fe8,,5,,,5,15,25
,,62606030e8c507e186ea4fe4,,1,,,5,16,26
,,62605f1be8c507e186ea4fde,,2,,,5,17,27
,,62605dfae8c507e186ea4fda,,3,,,6,18,28
,,62605d5be8c507e186ea4fd6,,4,,,6,19,29
,,62605c59e8c507e186ea4fd2,,5,,,6,20,30
,,62605b52e8c507e186ea4fce,,1.5,,,6,21,31
,,6260595be8c507e186ea4fca,,2.5,,,6,22,32
,,626057e2e8c507e186ea4fc5,,3.5,,,6,23,33
,,626056bee8c507e186ea4fc1,,4.5,,,7,24,34
,,62605623e8c507e186ea4fbd,,2.5,,,7,25,35
,,62605550e8c507e186ea4fb9,,3.5,,,7,26,36
,,62605305e8c507e186ea4fb5,,4.5,,,7,27,37
,,6260521de8c507e186ea4fb1,,2,,,7,28,38
,,62604febe8c507e186ea4fad,,2,,,7,29,39
,,62604f38e8c507e186ea4fa9,,2,,,8,30,40
,,62604da6e8c507e186ea4fa5,,2,,,8,31,41
,,62603aaee8c507e186ea4f94,,2,,,8,32,42
,,6260395de8c507e186ea4f90,,2,,,8,33,43
,,6260350ae8c507e186ea4f8c,,2,,,8,34,44
,,62603428e8c507e186ea4f88,,2,,,8,35,45
,,,,3.5,,,9,1,46
,,,,3.5,,,9,2,47
,,,,3.5,,,9,3,48
,,,,3.5,,,9,4,49
,,,,3.5,,,9,5,50
,,,,3.5,,,9,6,51
,,,,3.5,,,10,7,52
,,,,3.5,,,11,8,53
,,,,3.5,,,12,9,54
,,,,3.5,,,13,10,55
,,,,3.5,,,14,11,56
,,,,3.5,,,15,12,57
,,,,3.5,,,16,13,58
,,,,3.5,,,17,14,59
,,,,3.5,,,18,15,60
,,,,3.5,,,19,16,61
,,,,3.5,,,20,17,62
,,,,3.5,,,21,18,63
,,,,3.5,,,22,19,64
,,,,3.5,,,23,20,65
,,,,3.5,,,24,21,66
,,,,3.5,,,25,22,67
,,,,3.5,,,26,23,68
,,,,3.5,,,27,24,69
,,,,3.5,,,28,25,70
,,,,3.5,,,29,26,71
,,,,3.5,,,30,27,72
,,,,3.5,,,31,28,73
,,,,3.5,,,32,29,74
,,,,3.5,,,33,30,75
,,,,3.5,,,34,31,76
,,,,3.5,,,35,32,77
,,,,3.5,,,36,33,78
,,,,3.5,,,37,34,79
,,,,3.5,,,38,35,80
,,,,3.5,,,39,1,81
,,,,3.5,,,40,2,82
,,,,3.5,,,41,3,83
,,,,3.5,,,42,4,84
,,,,3.5,,,43,5,85
,,,,3.5,,,44,6,86
,,,,3.5,,,45,7,87
